parsed genome node DAGs: 110324
sequence regions: 14285 (total length: 1178210531)
genes: 96039
mRNAs: 96040
exons: 210899
introns: 114631
exon length distribution:
3: 2 (prob=0.0000,cumulative=0.0000)
4: 113 (prob=0.0005,cumulative=0.0005)
5: 42 (prob=0.0002,cumulative=0.0007)
6: 14 (prob=0.0001,cumulative=0.0008)
7: 32 (prob=0.0002,cumulative=0.0010)
8: 7 (prob=0.0000,cumulative=0.0010)
9: 7 (prob=0.0000,cumulative=0.0010)
10: 34 (prob=0.0002,cumulative=0.0012)
11: 6 (prob=0.0000,cumulative=0.0012)
12: 4 (prob=0.0000,cumulative=0.0012)
13: 79 (prob=0.0004,cumulative=0.0016)
14: 59 (prob=0.0003,cumulative=0.0019)
15: 69 (prob=0.0003,cumulative=0.0022)
16: 135 (prob=0.0006,cumulative=0.0029)
17: 78 (prob=0.0004,cumulative=0.0032)
18: 75 (prob=0.0004,cumulative=0.0036)
19: 135 (prob=0.0006,cumulative=0.0042)
20: 108 (prob=0.0005,cumulative=0.0047)
21: 95 (prob=0.0005,cumulative=0.0052)
22: 135 (prob=0.0006,cumulative=0.0058)
23: 116 (prob=0.0006,cumulative=0.0064)
24: 155 (prob=0.0007,cumulative=0.0071)
25: 155 (prob=0.0007,cumulative=0.0078)
26: 117 (prob=0.0006,cumulative=0.0084)
27: 98 (prob=0.0005,cumulative=0.0089)
28: 178 (prob=0.0008,cumulative=0.0097)
29: 113 (prob=0.0005,cumulative=0.0102)
30: 121 (prob=0.0006,cumulative=0.0108)
31: 167 (prob=0.0008,cumulative=0.0116)
32: 157 (prob=0.0007,cumulative=0.0124)
33: 162 (prob=0.0008,cumulative=0.0131)
34: 198 (prob=0.0009,cumulative=0.0141)
35: 153 (prob=0.0007,cumulative=0.0148)
36: 178 (prob=0.0008,cumulative=0.0156)
37: 205 (prob=0.0010,cumulative=0.0166)
38: 165 (prob=0.0008,cumulative=0.0174)
39: 162 (prob=0.0008,cumulative=0.0182)
40: 203 (prob=0.0010,cumulative=0.0191)
41: 189 (prob=0.0009,cumulative=0.0200)
42: 213 (prob=0.0010,cumulative=0.0210)
43: 247 (prob=0.0012,cumulative=0.0222)
44: 200 (prob=0.0009,cumulative=0.0231)
45: 195 (prob=0.0009,cumulative=0.0241)
46: 289 (prob=0.0014,cumulative=0.0254)
47: 223 (prob=0.0011,cumulative=0.0265)
48: 226 (prob=0.0011,cumulative=0.0276)
49: 284 (prob=0.0013,cumulative=0.0289)
50: 257 (prob=0.0012,cumulative=0.0301)
51: 265 (prob=0.0013,cumulative=0.0314)
52: 283 (prob=0.0013,cumulative=0.0327)
53: 264 (prob=0.0013,cumulative=0.0340)
54: 287 (prob=0.0014,cumulative=0.0353)
55: 353 (prob=0.0017,cumulative=0.0370)
56: 344 (prob=0.0016,cumulative=0.0386)
57: 305 (prob=0.0014,cumulative=0.0401)
58: 338 (prob=0.0016,cumulative=0.0417)
59: 297 (prob=0.0014,cumulative=0.0431)
60: 337 (prob=0.0016,cumulative=0.0447)
61: 359 (prob=0.0017,cumulative=0.0464)
62: 324 (prob=0.0015,cumulative=0.0479)
63: 350 (prob=0.0017,cumulative=0.0496)
64: 396 (prob=0.0019,cumulative=0.0515)
65: 357 (prob=0.0017,cumulative=0.0532)
66: 355 (prob=0.0017,cumulative=0.0549)
67: 416 (prob=0.0020,cumulative=0.0568)
68: 331 (prob=0.0016,cumulative=0.0584)
69: 416 (prob=0.0020,cumulative=0.0604)
70: 472 (prob=0.0022,cumulative=0.0626)
71: 426 (prob=0.0020,cumulative=0.0646)
72: 372 (prob=0.0018,cumulative=0.0664)
73: 520 (prob=0.0025,cumulative=0.0689)
74: 426 (prob=0.0020,cumulative=0.0709)
75: 417 (prob=0.0020,cumulative=0.0729)
76: 532 (prob=0.0025,cumulative=0.0754)
77: 414 (prob=0.0020,cumulative=0.0773)
78: 443 (prob=0.0021,cumulative=0.0794)
79: 507 (prob=0.0024,cumulative=0.0818)
80: 461 (prob=0.0022,cumulative=0.0840)
81: 434 (prob=0.0021,cumulative=0.0861)
82: 491 (prob=0.0023,cumulative=0.0884)
83: 514 (prob=0.0024,cumulative=0.0909)
84: 508 (prob=0.0024,cumulative=0.0933)
85: 550 (prob=0.0026,cumulative=0.0959)
86: 474 (prob=0.0022,cumulative=0.0981)
87: 470 (prob=0.0022,cumulative=0.1003)
88: 554 (prob=0.0026,cumulative=0.1030)
89: 472 (prob=0.0022,cumulative=0.1052)
90: 490 (prob=0.0023,cumulative=0.1075)
91: 549 (prob=0.0026,cumulative=0.1101)
92: 467 (prob=0.0022,cumulative=0.1124)
93: 448 (prob=0.0021,cumulative=0.1145)
94: 534 (prob=0.0025,cumulative=0.1170)
95: 461 (prob=0.0022,cumulative=0.1192)
96: 533 (prob=0.0025,cumulative=0.1217)
97: 599 (prob=0.0028,cumulative=0.1246)
98: 508 (prob=0.0024,cumulative=0.1270)
99: 545 (prob=0.0026,cumulative=0.1296)
100: 549 (prob=0.0026,cumulative=0.1322)
101: 523 (prob=0.0025,cumulative=0.1346)
102: 527 (prob=0.0025,cumulative=0.1371)
103: 577 (prob=0.0027,cumulative=0.1399)
104: 487 (prob=0.0023,cumulative=0.1422)
105: 545 (prob=0.0026,cumulative=0.1448)
106: 560 (prob=0.0027,cumulative=0.1474)
107: 498 (prob=0.0024,cumulative=0.1498)
108: 596 (prob=0.0028,cumulative=0.1526)
109: 587 (prob=0.0028,cumulative=0.1554)
110: 521 (prob=0.0025,cumulative=0.1579)
111: 493 (prob=0.0023,cumulative=0.1602)
112: 571 (prob=0.0027,cumulative=0.1629)
113: 472 (prob=0.0022,cumulative=0.1651)
114: 509 (prob=0.0024,cumulative=0.1676)
115: 623 (prob=0.0030,cumulative=0.1705)
116: 507 (prob=0.0024,cumulative=0.1729)
117: 490 (prob=0.0023,cumulative=0.1752)
118: 589 (prob=0.0028,cumulative=0.1780)
119: 515 (prob=0.0024,cumulative=0.1805)
120: 506 (prob=0.0024,cumulative=0.1829)
121: 529 (prob=0.0025,cumulative=0.1854)
122: 480 (prob=0.0023,cumulative=0.1877)
123: 450 (prob=0.0021,cumulative=0.1898)
124: 556 (prob=0.0026,cumulative=0.1924)
125: 458 (prob=0.0022,cumulative=0.1946)
126: 534 (prob=0.0025,cumulative=0.1971)
127: 563 (prob=0.0027,cumulative=0.1998)
128: 426 (prob=0.0020,cumulative=0.2018)
129: 500 (prob=0.0024,cumulative=0.2042)
130: 535 (prob=0.0025,cumulative=0.2067)
131: 493 (prob=0.0023,cumulative=0.2091)
132: 496 (prob=0.0024,cumulative=0.2114)
133: 528 (prob=0.0025,cumulative=0.2139)
134: 432 (prob=0.0020,cumulative=0.2160)
135: 434 (prob=0.0021,cumulative=0.2180)
136: 512 (prob=0.0024,cumulative=0.2205)
137: 431 (prob=0.0020,cumulative=0.2225)
138: 478 (prob=0.0023,cumulative=0.2248)
139: 488 (prob=0.0023,cumulative=0.2271)
140: 443 (prob=0.0021,cumulative=0.2292)
141: 420 (prob=0.0020,cumulative=0.2312)
142: 521 (prob=0.0025,cumulative=0.2336)
143: 436 (prob=0.0021,cumulative=0.2357)
144: 464 (prob=0.0022,cumulative=0.2379)
145: 468 (prob=0.0022,cumulative=0.2401)
146: 383 (prob=0.0018,cumulative=0.2419)
147: 438 (prob=0.0021,cumulative=0.2440)
148: 487 (prob=0.0023,cumulative=0.2463)
149: 423 (prob=0.0020,cumulative=0.2483)
150: 445 (prob=0.0021,cumulative=0.2504)
